Step	Type	Velocity
05000	0	3.210429
05000	0	1.660816
05000	0	4.014205
05000	0	4.142403
05000	0	3.633440
05000	0	3.435148
05000	0	2.832106
05000	0	2.569345
05000	0	4.468628
05000	0	3.937107
05000	0	1.813831
05000	0	2.953931
05000	0	2.578571
05000	0	2.528627
05000	0	1.703614
05000	0	1.518646
05000	0	0.757228
05000	0	1.621293
05000	0	3.171650
05000	0	3.312804
05000	0	2.473129
05000	0	0.679372
05000	0	2.554355
05000	0	2.261959
05000	0	2.709197
05000	0	3.532517
05000	0	3.311184
05000	0	0.771153
05000	0	1.368613
05000	0	1.088079
05000	0	3.454692
05000	0	2.840711
05000	0	4.731520
05000	0	5.341137
05000	0	1.631434
05000	0	2.825547
05000	0	3.319701
05000	0	1.111281
05000	0	1.253270
05000	0	4.118776
05000	0	2.276088
05000	0	1.036512
05000	0	1.714886
05000	0	2.454548
05000	0	1.141629
05000	0	2.279271
05000	0	1.802252
05000	0	2.840109
05000	0	2.946642
05000	0	2.418867
05000	0	2.308983
05000	0	1.730974
05000	0	1.651930
05000	0	2.132674
05000	0	3.666561
05000	0	0.648393
05000	0	1.608952
05000	0	1.604759
05000	0	2.587362
05000	0	2.532528
05000	0	1.228956
05000	0	2.863602
05000	0	0.576302
05000	0	1.527283
05000	0	2.465029
05000	0	3.260920
05000	0	2.519642
05000	0	2.551589
05000	0	1.776095
05000	0	1.812587
05000	0	1.613775
05000	0	1.745693
05000	0	0.926220
05000	0	1.515923
05000	0	3.272671
05000	0	3.575500
05000	0	5.534704
05000	0	3.049359
05000	0	2.772988
05000	0	1.770979
05000	0	1.565121
05000	0	1.726302
05000	0	2.727001
05000	0	2.443300
05000	0	4.172163
05000	0	1.811304
05000	0	3.144443
05000	0	6.149225
05000	0	1.247073
05000	0	1.441905
05000	0	2.326994
05000	0	2.046798
05000	0	0.597605
05000	0	1.826615
05000	0	2.232513
05000	0	3.595208
05000	0	1.272531
05000	0	0.898203
05000	0	1.794033
05000	0	1.900839
05000	0	1.983256
05000	0	2.423459
05000	0	1.462606
05000	0	3.538928
05000	0	3.008031
05000	0	1.107243
05000	0	4.032983
05000	0	1.283390
05000	0	3.054888
05000	0	0.851726
05000	0	1.126499
05000	0	2.387418
05000	0	1.966053
05000	0	2.769126
05000	0	1.724832
05000	0	2.664221
05000	0	2.766477
05000	0	4.215670
05000	0	3.225563
05000	0	2.866530
05000	0	4.525094
05000	0	1.746688
05000	0	2.038580
05000	0	3.425112
05000	0	2.783306
05000	0	2.017929
05000	0	2.536571
05000	0	5.458899
05000	0	2.004460
05000	0	1.662560
05000	0	4.775810
05000	0	2.770740
05000	0	0.780235
05000	0	0.909154
05000	0	1.251783
05000	0	5.363737
05000	0	2.702460
05000	0	2.298953
05000	0	0.984102
05000	0	1.822453
05000	0	2.682036
05000	0	4.287557
05000	0	7.118327
05000	0	3.374763
05000	0	3.613359
05000	0	2.017763
05000	0	1.390912
05000	0	3.171611
05000	0	3.451207
05000	0	2.641716
05000	0	1.833361
05000	0	2.165535
05000	0	1.745432
05000	0	4.316906
05000	0	1.431323
05000	0	1.356169
05000	0	2.281635
05000	0	1.301868
05000	0	3.011945
05000	0	0.475174
05000	0	0.842638
05000	0	2.483976
05000	0	1.966034
05000	0	0.323190
05000	0	2.093009
05000	0	1.863245
05000	0	2.802644
05000	0	3.706643
05000	0	2.322429
05000	0	2.623732
05000	0	3.188506
05000	0	1.302235
05000	0	1.726020
05000	0	2.588471
05000	0	1.339297
05000	0	1.137237
05000	0	1.037380
05000	0	1.948063
05000	0	1.844645
05000	0	2.951017
05000	0	3.411315
05000	0	3.400378
05000	0	2.333943
05000	0	4.621483
05000	0	3.726855
05000	0	1.000959
05000	0	0.826997
05000	0	2.729038
05000	0	1.754721
05000	0	3.401546
05000	0	1.486054
05000	0	2.470131
05000	0	2.190201
05000	0	1.429044
05000	0	2.957719
05000	0	1.702950
05000	0	3.216400
05000	0	3.355362
05000	0	2.662530
05000	0	4.495765
05000	0	2.372885
05000	0	1.872947
05000	0	0.631534
05000	0	1.990980
05000	0	1.305349
05000	0	2.289110
05000	0	0.986030
05000	0	3.189662
05000	0	3.397903
05000	0	2.696729
05000	0	1.942909
05000	0	1.604630
05000	0	2.262198
05000	0	2.099431
05000	0	2.781766
05000	0	2.715284
05000	0	1.417703
05000	0	2.308729
05000	0	3.083263
05000	0	1.650962
05000	0	1.786230
05000	0	1.683097
05000	0	0.909687
05000	0	2.137682
05000	0	5.351568
05000	0	3.905890
05000	0	1.454448
05000	0	3.401727
05000	0	3.747490
05000	0	2.312984
05000	0	3.708723
05000	0	2.287625
05000	0	3.617331
05000	0	2.691553
05000	0	2.218442
05000	0	2.219433
05000	0	3.454189
05000	0	2.372958
05000	0	1.833194
05000	0	1.545207
05000	0	2.706258
05000	0	0.898640
05000	0	2.390684
