Step	Time	Epot	Ekin	Etot	T
158	0.000158	0.000567	945.723438	945.724005	1.047241
159	0.000159	0.000574	945.725479	945.726053	1.047243
160	0.000160	0.000581	945.727524	945.728105	1.047246
161	0.000161	0.000589	945.729573	945.730162	1.047248
162	0.000162	0.000596	945.731627	945.732223	1.047250
163	0.000163	0.000604	945.733685	945.734288	1.047252
164	0.000164	0.000611	945.735746	945.736358	1.047255
165	0.000165	0.000619	945.737812	945.738432	1.047257
166	0.000166	0.000627	945.739883	945.740510	1.047259
167	0.000167	0.000635	945.741957	945.742592	1.047262
168	0.000168	0.000642	945.744036	945.744678	1.047264
169	0.000169	0.000650	945.746119	945.746769	1.047266
170	0.000170	0.000658	945.748206	945.748864	1.047269
171	0.000171	0.000666	945.750297	945.750963	1.047271
172	0.000172	0.000674	945.752392	945.753066	1.047273
173	0.000173	0.000682	945.754492	945.755174	1.047275
174	0.000174	0.000690	945.756595	945.757286	1.047278
175	0.000175	0.000698	945.758703	945.759402	1.047280
176	0.000176	0.000707	945.760816	945.761522	1.047282
177	0.000177	0.000715	945.762932	945.763647	1.047285
178	0.000178	0.000723	945.765052	945.765776	1.047287
179	0.000179	0.000732	945.767177	945.767909	1.047290
180	0.000180	0.000740	945.769306	945.770046	1.047292
181	0.000181	0.000749	945.771439	945.772188	1.047294
182	0.000182	0.000757	945.773576	945.774333	1.047297
183	0.000183	0.000766	945.775718	945.776483	1.047299
184	0.000184	0.000774	945.777863	945.778638	1.047301
185	0.000185	0.000783	945.780013	945.780796	1.047304
186	0.000186	0.000792	945.782167	945.782959	1.047306
187	0.000187	0.000801	945.784325	945.785126	1.047308
188	0.000188	0.000809	945.786488	945.787297	1.047311
189	0.000189	0.000818	945.788654	945.789473	1.047313
190	0.000190	0.000827	945.790825	945.791652	1.047316
191	0.000191	0.000836	945.793000	945.793836	1.047318
192	0.000192	0.000845	945.795179	945.796024	1.047320
193	0.000193	0.000854	945.797362	945.798217	1.047323
194	0.000194	0.000864	945.799550	945.800413	1.047325
195	0.000195	0.000873	945.801742	945.802614	1.047328
196	0.000196	0.000882	945.803937	945.804820	1.047330
197	0.000197	0.000891	945.806137	945.807029	1.047333
198	0.000198	0.000901	945.808342	945.809242	1.047335
