Step	Time	Epot	Ekin	Etot	T
142	1.420000	1.617566	6045.033689	6046.651256	0.999843
143	1.430000	5.087609	6042.128450	6047.216059	0.999377
144	1.440000	6.587730	6041.459496	6048.047226	0.998937
145	1.450000	3.835131	6044.420582	6048.255713	0.999176
146	1.460000	0.557974	6047.686320	6048.244293	0.999838
147	1.470000	-0.882815	6049.032949	6048.150134	1.000243
148	1.480000	-0.729283	6048.749271	6048.019988	1.000306
149	1.490000	0.293292	6047.693126	6047.986418	1.000159
150	1.500000	1.245733	6046.833186	6048.078920	0.999957
151	1.510000	1.217730	6046.937403	6048.155133	0.999872
152	1.520000	0.226362	6047.884623	6048.110985	0.999981
153	1.530000	-0.949492	6048.923830	6047.974339	1.000178
154	1.540000	-1.792957	6049.572284	6047.779327	1.000330
155	1.550000	-2.262784	6049.812838	6047.550054	1.000402
156	1.560000	-2.495260	6049.804837	6047.309577	1.000415
157	1.570000	-2.616029	6049.689708	6047.073679	1.000400
158	1.580000	-2.700698	6049.549304	6046.848606	1.000376
159	1.590000	-2.776978	6049.411524	6046.634545	1.000351
160	1.600000	-2.825583	6049.254711	6046.429127	1.000328
161	1.610000	-2.758293	6048.991583	6046.233289	1.000297
162	1.620000	-2.370274	6048.427381	6046.057106	1.000238
163	1.630000	-1.291594	6047.242827	6045.951233	1.000106
164	1.640000	0.802053	6045.262130	6046.064183	0.999842
165	1.650000	3.162012	6043.390221	6046.552233	0.999460
166	1.660000	3.383453	6043.659596	6047.043049	0.999251
167	1.670000	0.987631	6046.160786	6047.148417	0.999541
168	1.680000	-1.625427	6048.696162	6047.070735	1.000043
169	1.690000	-3.231921	6050.106229	6046.874309	1.000385
170	1.700000	-4.016366	6050.604840	6046.588474	1.000530
171	1.710000	-4.360412	6050.627197	6046.266785	1.000562
172	1.720000	-4.486548	6050.433200	6045.946652	1.000541
173	1.730000	-4.485074	6050.133612	6045.648538	1.000496
174	1.740000	-4.384113	6049.769242	6045.385129	1.000437
175	1.750000	-4.210687	6049.376518	6045.165831	1.000370
176	1.760000	-4.043136	6049.035436	6044.992300	1.000303
177	1.770000	-4.022228	6048.870822	6044.848594	1.000253
178	1.780000	-4.281859	6048.982815	6044.700956	1.000246
179	1.790000	-4.836393	6049.351885	6044.515493	1.000290
180	1.800000	-5.550181	6049.827661	6044.277480	1.000370
181	1.810000	-6.226696	6050.218885	6043.992189	1.000453
182	1.820000	-6.700578	6050.379085	6043.678507	1.000506
183	1.830000	-6.862810	6050.228044	6043.365235	1.000510
184	1.840000	-6.662680	6049.752808	6043.090129	1.000457
185	1.850000	-6.147046	6049.034331	6042.887285	1.000350
